Cluster,Obs,AverageDistance,Day.STDev
11,2,0.00,0.00
95,6,30.00,19.11
139,12,1.00,21.93
234,12,9.17,326.40
301,2,1.00,0.00
495,1560,1.35,18.04
505,56,7.25,291.37
579,90,19.27,174.38
801,6,0.00,0.00
928,1560,0.34,21.08
1093,342,61.11,273.66
1095,56,124.57,153.25
1125,90,5.33,51.23
1276,420,4.54,244.39
1461,20,0.00,0.00
1573,2,0.00,0.00
1852,870,0.24,211.87
2059,3080,0.38,125.54
2542,2,14.00,202.94
2543,3306,83.08,181.88
2545,4032,52.12,175.36
2631,72,5.83,134.19
2682,2,47.00,174.66
2684,90,2.40,13.31
3156,20,0.80,0.00
3358,2,0.00,0.00
3431,20,1.20,0.00
3513,1892,52.12,235.12
3530,6,48.67,395.04
3558,110,13.24,135.17
3914,2256,12.17,158.78
4722,6,0.67,0.00
4873,20,0.40,9.44
6247,6,0.00,0.00
6384,6,0.00,0.00
7086,72,129.42,139.71
7187,342,3.35,116.84
7383,6,0.00,19.11
